Treatment,Type,Length,Touch,Homework,Description ,,,,,
שיאצו,Physical,,Y,N,טכניקת מסאז' יפנית המתמקדת בלחיצות על נקודות רפואיות לשיפור הבריאות הכללית.,,,,,
נטורופתיה,Physical,,N,N,"מתמקדת בטיפול טבעי והוליסטי, משלבת שימוש בצמחים ושיטות רפואיות טבעיות.",,,,,
הומאופתיה,Physical,,N,N,"מבוססת על עיקרון הדילול והסימון, מיועדת לטיפול במחלות כרוניות ועוד.",,,,,
אוסטאופתיה,Physical,Short,Y,N,טיפול בבעיות שלד ומפרקים דרך מניפולציות גופניות.,,,,,
רפלקסולוגיה,Physical,Long,Y,N,מסאז' שמתמקד בלחיצות בכפות הרגליים להשפעה על איברים ומערכות בגוף.,,,,,
עיסוי רפואי הוליסטי,Physical,Short,Y,N,משלב טכניקות עיסוי מגוונות לטיפול רפואי ושחרור שרירים.,,,,,
טווינא,Physical,,Y,N,סוג של עיסוי סיני המתמקד בשיפור זרימת הצ'י והדם בגוף.,,,,,
כירופרקטיקה,Physical,Short,Y,N,מתמקדת בטיפול בבעיות של השלד והעמוד השדרי דרך תיקונים מניפולטיביים.,,,,,
שיטת פלדנקרייז,Physical,Long,Y,N,מעודדת למידה מחודשת של תנועה לשיפור פונקציות גופניות ומנטליות.,,,,,
ביופידבק,Emotional,Short,N,N,מיועד ללימוד ניהול פונקציות גופניות דרך משוב ממוחשב.,,,,,
עיסוי לימפטי (ניקוז לימפטי),Physical,,Y,N,מתמקד בשחרור נוזלים מהגוף ותמיכה במערכת הלימפה.,,,,,
שיטת פאולה,Physical,,Y,N,טיפול בתנועה לשיפור התנועתיות והגמישות של הגוף.,,,,,
הומוטוקסיקולוגיה,Physical,,N,N,עוסקת בניקוי רעלים מהגוף דרך שיטות הוליסטיות.,,,,,
הדרכת הורים,Emotional,,N,Y,מספקת כלים להורים לניהול יחסים והתמודדות עם אתגרי ההורות.,,,,,
שיטת אלכסנדר,Physical,Short,Y,N,מתמקדת בשיפור תנוחת הגוף והקלה על כאבים ולחצים גופניים.,,,,,
דיקור סיני אנטי אייג'ינג,Physical,Short,Y,N,מיועד להאטת תהליכי הזדקנות דרך דיקור בנקודות מפתח.,,,,,
אבחון אוטיזם,Diagnostic,Short,N,N,בדיקות לאיתור סימפטומים של אוטיזם בילדים ומתבגרים.,,,,,
היפנוזה,Emotional,,N,N,"משמשת להפחתת חרדה, למידה עצמית והתמודדות עם פחדים והרגלים רעים.",,,,,
העצמה אישית,Emotional,,N,N,מתמקדת בפיתוח כישורים אישיים והתמודדות עם אתגרים חיים.,,,,,
טיפול ב-OCD,Emotional,Long,N,Y,"מיועד לאנשים עם הפרעת טורדנות כפייתית, מתמקד בשליטה בטקסים.",,,,,
טיפול באוטיזם,Emotional,Long,N,Y,"מיועד לילדים ומבוגרים עם אוטיזם, מתמקד בשיפור תקשורת והתנהגות.",,,,,
טיפול בדרמה,Emotional,Long,N,N,משתמש בדרמה לעיבוד רגשי ופיתוח מיומנויות חברתיות.,,,,,
טיפול התנהגותי דיאלקטי (DBT),Emotional,,N,Y,טיפול התנהגותי המתמקד בשליטה רגשית ומיתוג מחשבתי.,,,,,
טיפול זוגי,Emotional,Long,N,Y,מיועד לזוגות המעוניינים לשפר את הקשר הרומנטי והתקשורת ביניהם.,,,,,
טיפול לקהילה הגאה,Emotional,,N,Y,"מותאם לצרכים של אנשים בקהילת ה-LGBTQ+, מתמקד בתמיכה רגשית וחברתית.",,,,,
טיפול מיני,Emotional,,N,Y,"עוסק בבעיות וחרדות מיניות, מספק כלים לשיפור החיים המיניים.",,,,,
 טיפול הפרעות קשב וריכוז - ADHD,Emotional,,N,N,עוזר למי שסובלים מ-ADHD לשפר תשומת לב וריכוז.,,,,,
טיפול משפחתי,Emotional,Long,N,Y,מיועד לשיפור היחסים בתוך המשפחה ופתרון קונפליקטים.,,,,,
קלינאות תקשורת,Diagnostic,Short,N,N,"מיועדת לשיפור יכולת התקשורת, בעיקר לילדים עם לקויות תקשורת.",,,,,
אבחון הפרעות קשב וריכוז,Diagnostic,Short,N,N,בדיקה לאיתור סימנים ותסמינים של הפרעות קשב.,,,,,
אבחון לקויי למידה,Diagnostic,Short,N,N,בדיקות לזיהוי לקויות למידה ותכנון תוכניות לימוד מותאמות.,,,,,
אבחון דידקטי,Diagnostic,Short,N,N,מתמקד בבדיקת כישורים אקדמיים והתאמת תוכניות לימוד.,,,,,
טיפול פסיכיאטרי,Emotional,Long,N,N,"מיועד לטיפול בהפרעות נפשיות חמורות, כולל שימוש בתרופות פסיכיאטריות.",,,,,
טיפול קוגניטיבי התנהגותי (CBT),Emotional,Short,N,Y,"טיפול המתמקד בשינוי דפוסי חשיבה והתנהגות לטיפול בהפרעות חרדה, דיכאון ועוד.",,,,,
טיפול רגשי בעזרת בעלי חיים,Emotional,,Y,N,"משלב אינטראקציה עם חיות לצורך תמיכה רגשית ופיתוח כישורים חברתיים, מתאים לילדים ומבוגרים.",,,,,
אבחון פסיכולוגי,Diagnostic,Short,N,N,בדיקה לאבחון מצבים נפשיים והתאמת טיפולים פסיכולוגיים.,,,,,
מיינדפולנס,Emotional,Short,N,N,"מתמקד בתרגול מיינדפולנס ומדיטציה לשיפור הריכוז, השלווה הנפשית וניהול מתחים.",,,,,
ניהול לחצים וחוסן אישי,Emotional,Short,N,Y,"פותח מיומנויות לניהול לחץ וקידום חוסן נפשי, מתאים לאנשים בעלי עבודות מאומצות ולחוצות.",,,,,
פוסט טראומה,Emotional,Long,N,Y,"מיועד לטיפול באנשים אחרי טראומה, מתמקד בהתמודדות עם השלכות הטראומה ושחזור התפקוד היומיומי.",,,,,
NLP,Emotional,Short,N,N,טכניקת תקשורת ושינוי אישי המתמקדת בשימוש בשפה לשינוי דפוסי חשיבה והתנהגות.,,,,,
פירוש חלומות,Emotional,Short,N,N,"מסייע למטופלים לפענח ולהבין את משמעויות החלומות שלהם, עלול לסייע בהתמודדות עם רגשות וחוויות בלתי מודעות.",,,,,
תמציות פרחי באך,Emotional,Short,N,N,"שימוש בתמציות צמחיות לטיפול במצבי רוח, חרדות ומתחים רגשיים.",,,,,
אבחון נוירופסיכולוגי,Diagnostic,Short,N,N,"בדיקות שמאבחנות פגיעות ובעיות בתפקוד המוחי, מיועדות לאבחון מצבים כמו דמנציה, ADHD, ועוד.",,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
